shap_0,shap_1,shap_2,shap_3,shap_4,shap_5,shap_6,shap_7,shap_8,shap_9,shap_10,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10
-0.13728811869375734,-0.09870212283262245,-0.026920535275690563,0.0016571721340167063,0.00439559215370091,0.07962226042005413,0.0,0.0,-0.0006970039520043088,0.0006445101638737905,-0.003099287352077545,0.31111112,0.0,0.0331,0.8974359,0.3,0.0,0.0,0.0,1.7529411,0.0428,0.6666667
-0.04232152661721003,-0.08783407902499782,-0.018563954624743157,-8.602492056203337e-05,0.004204854842756598,-0.035627221296407025,0.0,0.0,0.0017465859538366721,0.0014756912386297868,-0.003516086828762224,0.6666667,0.0,0.027966667,0.974359,0.2,1.3333334,0.0,0.0,1.7,0.021266667,0.6666667
0.010747204723544039,-0.0637307077812758,-0.0228474937359267,0.003812937032471154,0.0027335561517281837,0.09813923173382617,0.0,0.0,-0.006829324824113716,-0.006540057543624529,-0.19593869493902713,0.84444445,0.187,0.0004,0.20512821,1.3,0.0,0.0,0.0,1.8764706,0.0039333333,2.0
-0.007268639973506206,0.01633233777383518,-0.02133232995589059,-0.008081736756515018,-0.002317521768082302,-0.10399039258710868,0.0,0.0,0.00526860826245687,-0.003669276582278265,-0.05535941006172786,0.8,0.6454,0.0303,0.12820514,1.4,2.0,0.0,0.0,1.5294118,0.107266665,1.3333334
-0.053583570779874606,-0.08119844701003473,-0.013724132260080586,0.0010091100365831407,-0.0038047037840851588,-0.027179840408026425,0.0,0.0,-5.412460946272342e-05,0.00016277514968471296,-0.00216231806431025,0.4,0.0,0.0165,0.8974359,1.6,1.3333334,0.0,0.0,1.7058823,0.015266667,0.6666667
-0.12848036435573282,-0.085081621930626,-0.024856252056159774,-0.007436011142546146,0.002439068885912977,0.014324527872855888,0.0,0.0,0.0006514449870832807,0.0006358990695969624,0.047332132961781015,0.22222222,0.0,0.0044333334,1.3076923,0.8,0.6666667,0.0,0.0,1.6764706,0.0036333334,0.0
-0.18257246693784504,-0.10724545182835044,-0.02935605165354215,-0.008384158105921975,0.005047555749533575,0.08966858986380702,0.0,0.0,-0.0023336417231240207,0.0018163241411418007,0.05516016462751225,0.22222222,0.0,0.025633333,1.4102564,0.3,0.0,0.0,0.0,1.7058823,0.011766667,0.0
0.25812239892395705,-0.13660502619438047,-0.04287508523180675,0.014463004511067929,0.028436896208587577,0.20298464154429804,0.0,0.0,-0.01255921262176924,-0.0022112681176223586,-0.19033045310121866,1.3333334,0.0,0.0033,0.82051283,0.3,0.0,0.0,0.0,1.7764705,0.0025666666,1.3333334
0.009432227148960904,-0.09012081780281646,-0.030303217073670202,0.004360854423604076,0.003164626407018988,-0.06814608677450845,0.0,0.0,-0.0036733375732082387,0.000765491218703146,-0.005850957412061492,0.9777778,0.0,0.0013333333,0.46153846,0.5,1.3333334,0.0,0.0,1.8647059,0.0057333335,0.6666667
-0.18251463037082294,-0.03631519889294038,-0.04278481224461411,-0.01951340476570396,-0.019491596959880526,0.12265354602647763,0.0,0.0,-0.01144475897518534,0.0004901169056980292,0.08656162629076664,0.35555556,0.2582,0.0068,1.4871795,1.6,0.0,0.0,0.0,1.8235294,0.1516,0.0
-0.014421475562538711,0.6044421498698034,-0.02515421983565443,-0.018527994517775544,0.00515876786037104,0.03626159079049805,0.0,0.0,0.0034390539430172425,-0.0014798199702714676,0.01938545135681669,0.7111111,1.675,0.0017666667,1.4102564,0.6,0.6666667,0.0,0.0,1.7823529,0.10696667,0.0
